序号,汉字,频度统计,频度顺序,频率,,
948,的,7922684,1,4.1261%,,
1,一,3050722,2,1.5888%,,
1192,是,2615490,3,1.3621%,,
86,不,2237915,4,1.1655%,,
15,了,2128528,5,1.1085%,,
346,在,2009181,6,1.0464%,,
9,人,1867999,7,0.9728%,,
347,有,1782004,8,0.9281%,,
648,我,1690048,9,0.8802%,,
247,他,1595761,10,0.8311%,,
711,这,1552042,11,0.8083%,,
43,个,1199580,12,0.6247%,,
243,们,1169853,13,0.6093%,,
105,中,1104541,14,0.5752%,,
610,来,1079469,15,0.5622%,,
34,上,1069575,16,0.5570%,,
30,大,1054064,17,0.5489%,,
153,为,1039036,18,0.5411%,,
931,和,1010465,19,0.5262%,,
897,国,985350,20,0.5132%,,
327,地,969349,21,0.5048%,,
881,到,965035,22,0.5026%,,
168,以,910627,23,0.4742%,,
1379,说,874977,24,0.4557%,,
617,时,833532,25,0.4341%,,
1164,要,811011,26,0.4224%,,
2067,就,771108,27,0.4016%,,
294,出,755256,28,0.3933%,,
432,会,734888,29,0.3827%,,
195,可,723108,30,0.3766%,,
62,也,710259,31,0.3699%,,
666,你,705205,32,0.3673%,,
305,对,703632,33,0.3664%,,
235,生,682031,34,0.3552%,,
1694,能,665358,35,0.3465%,,
350,而,649239,36,0.3381%,,
60,子,640640,37,0.3336%,,
498,那,638538,38,0.3325%,,
1808,得,630688,39,0.3285%,,
21,于,630524,40,0.3284%,,
1850,着,626326,41,0.3262%,,
29,下,621185,42,0.3235%,,
424,自,611687,43,0.3186%,,
55,之,609003,44,0.3172%,,
396,年,601887,45,0.3135%,,
339,过,589925,46,0.3072%,,
302,发,572904,47,0.2984%,,
428,后,570764,48,0.2973%,,
661,作,542791,49,0.2827%,,
621,里,537795,50,0.2801%,,
253,用,535480,51,0.2789%,,
2076,道,534695,52,0.2785%,,
429,行,531848,53,0.2770%,,
957,所,523028,54,0.2724%,,
2063,然,511026,55,0.2661%,,
1656,家,509790,56,0.2655%,,
1245,种,503344,57,0.2621%,,
860,事,499172,58,0.2600%,,
359,成,499007,59,0.2599%,,
151,方,492763,60,0.2566%,,
450,多,481689,61,0.2509%,,
1100,经,481338,62,0.2507%,,
50,么,477969,63,0.2489%,,
188,去,476270,64,0.2480%,,
1019,法,466816,65,0.2431%,,
1042,学,464261,66,0.2418%,,
511,如,449036,67,0.2339%,,
1444,都,439568,68,0.2289%,,
381,同,437611,69,0.2279%,,
798,现,433960,70,0.2260%,,
374,当,429274,71,0.2236%,,
730,没,428146,72,0.2230%,,
314,动,426839,73,0.2223%,,
1174,面,425180,74,0.2214%,,
1435,起,424933,75,0.2213%,,
1237,看,424616,76,0.2211%,,
1045,定,422538,77,0.2201%,,
75,天,419884,78,0.2187%,,
135,分,419382,79,0.2184%,,
608,还,415855,80,0.2166%,,
532,进,412166,81,0.2147%,,
513,好,411866,82,0.2145%,,
35,小,410987,83,0.2140%,,
1613,部,403066,84,0.2099%,,
831,其,403028,85,0.2099%,,
886,些,400528,86,0.2086%,,
268,主,399693,87,0.2082%,,
1474,样,398149,88,0.2074%,,
1703,理,398087,89,0.2073%,,
160,心,392228,90,0.2043%,,
514,她,388612,91,0.2024%,,
193,本,388118,92,0.2021%,,
1328,前,381431,93,0.1986%,,
73,开,377012,94,0.1963%,,
659,但,374459,95,0.1950%,,
384,因,371612,96,0.1935%,,
226,只,370059,97,0.1927%,,
132,从,369958,98,0.1927%,,
2154,想,368819,99,0.1921%,,
1052,实,368494,100,0.1919%,,
104,日,363763,101,0.1894%,,
490,军,362526,102,0.1888%,,
812,者,360974,103,0.1880%,,
2234,意,360232,104,0.1876%,,
76,无,359265,105,0.1871%,,
16,力,359136,106,0.1870%,,
280,它,346173,107,0.1803%,,
32,与,345532,108,0.1800%,,
117,长,342148,109,0.1782%,,
574,把,340730,110,0.1775%,,
337,机,339823,111,0.1770%,,
4,十,338954,112,0.1765%,,
293,民,335796,113,0.1749%,,
1795,第,325780,114,0.1697%,,
137,公,318626,115,0.1659%,,
367,此,318534,116,0.1659%,,
59,已,318143,117,0.1657%,,
25,工,317532,118,0.1654%,,
937,使,316273,119,0.1647%,,
1873,情,312900,120,0.1630%,,
900,明,309873,121,0.1614%,,
1038,性,309844,122,0.1614%,,
924,知,306384,123,0.1596%,,
431,全,305248,124,0.1590%,,
20,三,304272,125,0.1585%,,
19,又,302933,126,0.1578%,,
473,关,302473,127,0.1575%,,
1185,点,300800,128,0.1567%,,
183,正,296810,129,0.1546%,,
210,业,296169,130,0.1542%,,
261,外,295645,131,0.1540%,,
1300,将,295586,132,0.1539%,,
602,两,294600,133,0.1534%,,
1595,高,293542,134,0.1529%,,
718,间,292227,135,0.1522%,,
224,由,292199,136,0.1522%,,
469,问,288237,137,0.1501%,,
1273,很,284252,138,0.1480%,,
1987,最,283689,139,0.1477%,,
1248,重,282843,140,0.1473%,,
472,并,281616,141,0.1467%,,
927,物,281146,142,0.1464%,,
113,手,280442,143,0.1461%,,
709,应,280384,144,0.1460%,,
1184,战,278776,145,0.1452%,,
426,向,276986,146,0.1443%,,
276,头,274911,147,0.1432%,,
149,文,274222,148,0.1428%,,
657,体,273792,149,0.1426%,,
1117,政,269878,150,0.1406%,,
1322,美,269452,151,0.1403%,,
